,hash_id,code,kind,repeat,desc,narrative,flag_include_1,flag_air_transit
12917,aa66a56c30b68b47,3.13(c)(3),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"At the time of inspection, a large dog was transported to the International Terminal Customs Area from the cargo
hold of an airplane by Swissport, an intermediate handler, after arriving on Swiss International Flight 38 from Zurich.
There was no signed declaration from the consignor indicating when the dog was last offered food and water, and
what the feeding and watering instructions were to be during transport. The owner's declaration regarding food and
water is essential to help ensure the proper care of the animal, especially in the event of any unexpected delays.
Transporters should take steps to ensure that all dogs and cats that they transport will travel with this
documentation, and that it is securely attached to the outside of the primary enclosure in a manner that makes it
easily noticed and read. The intermediate handler should take steps to ensure that the carriers for which they
handle animal cargo abide by these requirements from this time forward.",True,True
12918,aa66a56c30b68b47,3.14(a)(6),,False,PRIMARY ENCLOSURES USED TO TRANSPORT LIVE DOGS AND CATS.,"At the time of inspection a large dog was transported to the International Terminal Customs Area from the cargo
hold of an airplane by Swissport, and intermediate handler, after arriving on Swiss International Flight 38 from
Zurich. The dog was in a crate which was not correctly labeled. There were no ""LIVE ANIMAL"" markings on the
crate, nor were there ""Up Arrow"" markings to indicate the correct upright position. The ""LIVE ANIMAL"" and arrow
labeling on the crate help to ensure that animals in transport are handled properly by all carrier and intermediate
handler personnel, in order to safeguard the health and well-being of the animals. Transporters should take steps to
ensure that all primary enclosures for dogs and cats are correctly labeled at the time of consignment with ""LIVE
ANIMAL"" on top, and one or more sides of the enclosure, and arrows to indicate upright positioning. The
intermediate handler should take steps to ensure that the carriers for which they handle animal cargo abide by
these requirements from this time forward.",True,True
12919,aa66a56c30b68b47,3.16(c),,False,FOOD AND WATER REQUIREMENTS.,"At the time of inspection a large dog was transported to the International Terminal Customs Area from the cargo
hold of an airplane by Swissport, an intermediate handler, after arriving on Swiss International Flight 38 from Zurich.
There were no food or water receptacles in the enclosure. Food and water receptacles enable the dog or cat to be
offered food and water during transport, or at any time as needed, according to the consignor's instructions, or in
the event of delays, and are essential to ensuring the well-being of the animals in transit. Transporters should
ensure that upon accepting animals for transport there are food and water receptacles in place that are securely
attached inside the primary enclosure and placed so that the receptacles can be filled from outside the enclosure
without opening the door. The intermediate handler should take steps to ensure that the carriers for which they
handle animal cargo abide by these requirements from this time forward.
An exit interview was conducted with a Swissport representative.",True,True
12920,bc6340d304a294d2,3.13(a),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"One male Persian cat (DOB 9/12/14) was accepted for transport at 4:25 am on January 13, 2015 (Air Waybill # 016
DSM 4919 3911). The scheduled departure time was approximately 1:45 pm on the same day. The time the animal
was accepted for transport was greater than 4 hours before the scheduled departure time. Accepting an animal for
transport greater than four hours before departure time does not ensure that the animal received proper care prior
to departure.
From this day forward, animals must not be accepted for transport more than 4 hours before the scheduled
departure time.",True,True
12921,bc6340d304a294d2,3.13(c)(3),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"One male Persian cat (DOB 9/12/14) was accepted for transport on January 13, 2015 (Air Waybill # 016 DSM 4919
3911). There is a feeding and watering certification attached to the enclosure. This certification is a pre-printed,
typed label which states ""In the next 24 hour period the animal should be offered water and food at ____ (time) on
_____ (date)."" The date is filled out but the ""time"" is illegible to the inspectors. The supervisor states this is a
signature. There are no specific instructions for feeding and watering this animal within the next 24 hours. This does
not ensure the proper feeding and watering of the animal during transit.
From this day forward, animals must not be accepted for transport unless feeding and watering certifications have
specific instructions for feeding and watering for a 24 hour period.
Inspection and exit briefing conducted with a facility representative.
Additional Inspectors
Moore Chad, Animal Care Inspector
Ranslem Corbin, Animal Care Inspector",True,True
12922,c6c8e1c67493a032,2.27(a),,False,NOTIFICATION OF CHANGE OF OPERATION.,"The registrant is operating a cargo office at Seattle-Tacoma International Airport (SEA) for various airlines that
transport animals. The Swissport personnel frequently receive and handle animals in transit for the carriers that use
this cargo office. Although Swissport North America Inc. is registered with USDA / APHIS / Animal Care as an
intermediate handler, they did not inform Animal Care that SEA should be included as an active site. The SEA site
was cancelled on 9 MAR 2015. Failure to notify Animal Care means that routine inspections cannot be conducted,
which could put animal welfare at risk.
The registrant must immediately notify Animal Care in writing requesting the SEA site be added to their registration.
To be corrected from this time forward.
An exit briefing was conducted with the General Manager, Swissport Cargo on 11 JAN 2018.",True,True
12923,462fd135ca532dcd,3.13(f),Critical,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"The information below was provided to USDA Animal Care from a Los Angeles County Public Health
Veterinarian(LACPHV) concerning an approximately 6-month-old dog that was transported on May 14, 2019, on
flight SU106 Aeroflot Airlines, originating from China. Airway bill number 55500380816. The LACPH veterinarian
and CDC personnel were present at the Aeroflot cargo area when the dog arrived.
A male intact yellow retriever mix displaying neurological signs arrived to the Aeroflot airline cargo area. CDC
personnel denied entry of this dog as a rabies suspect and a LACPHV issued a health order to the airline for this
dog to be seen at a veterinary clinic for evaluation. According to the LACPHV, they cannot rule out rabies and the
dog needed to be quarantined and observed. The dog’s paperwork included a health certificate and rabies
certificate with no information regarding this dog’s neurologic problems.
LACPHV found a veterinary clinic that would be willing to see the dog and quarantine him. The cargo/ intermediate
handler took the dog to an alternate veterinary hospital, but the clinic could not handle the case at that time. The
dog was returned back to the Aeroflot cargo area without being evaluated. The dog was taken to the Los Angeles
City Shelter the following morning by the cargo/intermediate handler and has since received appropriate veterinary
care.
As a registered intermediate (IH), the IH must continue to provide proper care, including veterinary care if needed,
feeding, and housing to any dog and maintain any dog in accordance with generally accepted professional and
husbandry practices while under their care.",True,True
13473,d6ffad9c820c0c1b,2.31(e)(5),,False,INSTITUTIONAL ANIMAL CARE AND USE COMMITTEE (IACUC).,"***Three IACUC protocols (91516-19 utilizing beagles) and (72316-16 and 28916-19 utilizing cymnomolgus
macaques) did not have a complete description of the method of euthanasia. Although the facility is following the
AVMA guidelines for euthanasia in practice, the protocols as approved state “exsanguination” for euthanasia.
***Another protocol (94916-02) utilizing swine did not have an appropriate description of the method of euthanasia.
The protocol states “euthasol will be administered to develop a surgical plane of anesthesia prior to
exsanguination."" Euthasol is not an anesthetic agent, and thus the statement is not an appropriate description for
the method of euthanasia. All four protocols did refer back to a SOP entitled ""Euthanasia of Laboratory Animals;""
however, the SOP does not provide sufficient explanation to support the protocols as written.
***A fifth protocol (99016-124) utilizing rhesus macaques indicated euthanasia with euthasol ""to effect."" It did not
reference the SOP, and did not provide a complete description of the method of euthanasia.
The IACUC must assure that all proposals to conduct an activity involving animals have a complete description of
the method of euthanasia. IACUC approval of activities where an incomplete or inappropriate description of
euthanasia is present indicates the IACUC may not be conducting a thorough review of the protocols and thus might
lead to an animal welfare issue.
Correct by: December 2, 2016",True,True
14119,4f18866441049f9a,2.27(a),,False,Notification of change of operation.,"Kalitta Air LLC did not have a site listed for JFK New York Airport on the registration at the time of inspection. 54 dogs
were transported on 5-January-2023 on flight K4815 from Zhengzhou, China (AWB #272-73025470 and AWB #272-
72852522) without an active site at JFK New York Airport. The registrant is required to notify the Deputy Administrator of
any change in address within 10 days of making such change.",True,True
14127,3e5456da77773c7b,3.14(c)(3),,False,Consignments to carriers and intermediate handlers.,"A total of forty-one dogs were shipped from Zhengzhou, China to JFK International Airport on flight K4815 (Air Waybill #
272CGO73025481). These dogs left Zhengzhou International Airport on March 1, 2023 and arrived at JFK International
Airport on March 2, 2023.
There were no shipper’s certifications attached to the top of the 41 enclosures indicating the dogs were offered food and
water during the 4 hours prior to the delivery to the carrier, or specific feeding and watering instructions during transport
attached to any of the enclosures. The primary enclosures were only marked on top that the dogs were last fed at 6 pm
on March 1.
At the time of accepting a dog for shipment, the carrier must ensure that the consignor provides certification of the last
time food and water was offered during the 4 hours prior to delivery to the carrier, and specific instructions for the next
feeding(s) and watering(s) for a 24-hour period. This information is necessary to ensure that the dogs receive food at least
once every 24 hours, potable water at least once every 12 hours, and both as often as necessary for each animal’s good
health. The certification and feeding instructions should be clearly attached to the outside of the primary enclosures that
makes them easy to read. The carrier must ensure that the consignor has provided this information in writing to ensure
that dogs are adequately cared for while in transit.",True,True
14128,3e5456da77773c7b,3.15(a)(6),,False,Primary enclosures used to transport live dogs and cats.,"Forty-one dogs arrived at JFK International Airport on flight K4815 (Air Waybill # 272CGO73025481) from Zhengzhou,
China on March 2, 2023. Primary enclosures for all 41 dogs were not marked on top with the words “Live Animals” in
letters at least 1 inch high. The 41 enclosures were only marked on top with IATA labels and the “Live Animals” letters
were only ¼ of an inch in height. In addition, the majority of the 41 enclosures were not marked on at least once side with
the words “Live Animals” in letters at least 1 inch in height. A few of the 41 enclosures had an IATA label attached to one
side, but the words “Live Animals” were only ½ inch in height. Lack of proper markings on enclosures may cause
inappropriate handling, tilting, and loading which may lead to injury to the dogs. Unless the enclosure is permanently
affixed to the conveyance, each enclosure must be clearly marked on top and on one or more sides with the words “Live
Animals” in letters at least 1 inch high.",True,True
14129,3e5456da77773c7b,3.15(a)(9),,False,Primary enclosures used to transport live dogs and cats.,"Forty-one dogs arrived at JFK International Airport on flight K4815 (Air Waybill # 272CGO73025481) from Zhengzhou,
China on March 2, 2023. There were 12 of 41 primary enclosures with inadequate bedding to absorb and cover excreta.
The following primary enclosures had inadequate bedding to absorb and cover excreta: “Elsa” a 2.5 year old Alaskan
malamute (enclosure # 3031, microchip # 900239877803031), “Jolie” a 2 year old Alaskan malamute (enclosure # 3030,
microchip # 900239877803030), “Charles” a 5 year and 7 month old Labrador retriever (enclosure # 3027, microchip #
900239877803027), “Nancy” a 3 year and 8 month old golden retriever (enclosure # 8406, microchip #
900239877798406), “Kay” a 3 year and 7 month old golden retriever (enclosure # 8403, microchip # 900239877798403),
“Sophia” a 3 year and 8 month old golden retriever (enclosure # 8410, microchip # 900239877798410), “Ian” a 3 year 9
and month old golden retriever (enclosure # 8379, microchip # 900239877798379), “Brain” a 5 year and 5 month old
Labrador retriever (enclosure # 3023, microchip # 900239877803023), “Bill” a 4 year and 5 month old golden retriever
(enclosure # 8368, microchip # 900239877798368), “Fitch” a 3 year and 6 month old golden retriever (enclosure # 8377,
microchip # 900239877798377), “Rey” a 3 year and 5 month old Siberian husky (enclosure # 3032, microchip #
900239877803032), and “Nevin” a 5 year and 8 month old Samoyed (enclosure # 3377, microchip # 900239877803377).
Seven of the above enclosures only had a towel on the floor of the primary enclosure. Four of the above enclosures had a
blue mat on the floor of the primary enclosure. One of the above enclosures has a blue mat and towel on the floor of the
primary enclosure. These 12 primary enclosures had accumulations of solid waste and/or liquid waste present on the
floors which allowed direct contact with the dogs.
Direct contact with excreta for several days presents uncomfortable conditions, may cause dogs to become soiled, can
cause strong odors, and can expose dogs to disease hazards. Carriers must ensure that primary enclosures with solid
floors contain enough previously unused litter material to absorb and cover excreta. The litter material must be of a
suitably absorbent material that is safe and nontoxic.",True,True
14130,3e5456da77773c7b,3.15(e)(1),Direct,False,Primary enclosures used to transport live dogs and cats.,"Forty-one dogs arrived at JFK International Airport on flight K4815 (Air Waybill # 272CGO73025481) from Zhengzhou,
China on March 2, 2023. The following primary enclosures had inadequate space:
• “Elsa” a 2 ½ year old, Alaskan malamute (enclosure # 3031, microchip # 900239877803031). Elsa measured 41 inches
long and 30.5 inches high, while the primary enclosure was 31 inches long by 20 inches wide by 27 inches high.
• “Peggy” a 4 year and 4 month old, Samoyed (enclosure # 3376, microchip # 900239877803376). “Peggy” measured 29
inches long and 23.5 inches high, while the primary enclosure was 24 inches long by 15 inches wide by 20.5 inches high.
Inadequate space during transport can cause stress, uncomfortable conditions, and prevent normal postural adjustments.
Primary enclosures used to transport live dogs must be large enough to ensure each animal has enough space to turn
about normally while standing, to sit erect, and to lie in a natural position.",True,True
14131,3e5456da77773c7b,3.17(c),,False,Food and water requirements.,"Forty-one dogs arrived at JFK International Airport on flight K4815 (Air Waybill # 272CGO73025481) from Zhengzhou,
China on March 2, 2023. There were 6 primary enclosures with detached water receptacles (Elsa # 3031, Jolie # 3030,
Charles # 3027, Nancy # 8406, Bill # 8368, Rey # 3032), 4 primary enclosures with detached food and water receptacles
(Sophia # 8410, Ian # 8379, Brain # 3023, Eric # 8376), and 1 primary enclosure with a detached food receptacle (Wanda
# 8968). These detached receptacles were lying on the floor of the primary enclosures.
Food and water receptacles not securely attached inside the primary enclosure prevents the containers from being filled
from outside of the primary enclosure. This compromises the dogs’ access to food and water during transit. Food and
water receptacles must be securely attached inside the primary enclosure and placed so that the receptacles can be filled
from outside the enclosure without opening the door.
This inspection was conducted with animal facility representative on March 2, 2023, and the exit interview was conducted
with an airline representative by phone on March 6, 2023.
End Section",True,True
14132,caee49cdde63c605,3.15(a)(6),,False,Primary enclosures used to transport live dogs and cats.,"A flight containing 44 dogs arrived at JFK International Airport on March 23, 2023, at 6:16 am ET, shipped from
Zhengzhou International Airport (Zheng Zhou, China) on March 22, 2023 (AWB #272CGO73107300).
Primary enclosures for 16 dogs were missing the words “Live Animals,” on top of the transport carriers (“Brando”
microchip# 900115002227848, “Blaine” microchip# 900219000038474, “Buddy” microchip# 900219000038302, “Skippy”
microchip# 900219000038304, “Potato” microchip# 900115002107828, “Pike” microchip# 900219000038131, “Shadow”
microchip# 900115001315352, “Captain” microchip# 900219000038318, “Rosie” microchip# 900219000038240, “Sugar”
microchip# 900219000038147, “Misty” 900219000038554, “Cinnamon” microchip#900115002107399, “Princess”
microchip# 900219000038314, “Velvet” microchip# 900219000038202, “Charlie” microchip# 900115002107420, “Andie”
microchip# 900115001084369). Lack of proper markings on enclosures may cause inappropriate handling, tilting, which
may lead to injury to the dogs. Unless the enclosure is permanently affixed to the conveyance, each enclosure must be
clearly marked on top and on one or more sides with the words “Live Animals” in letters at least 1 inch high.",True,True
14133,caee49cdde63c605,3.15(e)(1),Direct,False,Primary enclosures used to transport live dogs and cats.,"A flight containing 44 dogs arrived at JFK International Airport on March 23, 2023, at 6:16 am ET, shipped from
Zhengzhou International Airport (Zheng Zhou, China) on March 22, 2023 (AWB #272CGO73107300).
The following primary enclosures had inadequate space:
• A black mixed breed, “Shadow” microchip# 900115001315352. “Shadow” measured 40 inches in length and 29 inches
in height, while the enclosure measured 33 inches in length and 23 inches in height.
• A yellow Labrador retriever, “Sugar” microchip# 900219000038147. “Sugar” measured 31 inches in length and 27 inches
in height, while the enclosure measured 28 inches in length and 19.5 inches in height.
• A white and black Old English sheepdog, “Brando” microchip# 900115002227848. “Brando” measured 38 inches in
length and 29.5 inches in height, while the enclosure measured 35 inches in length and 27 inches in height.
• A white and black Old English sheepdog, “Charlie” microchip# 900115002107420. “Charlie” measured 36 inches in
length and 28 inches in height, while the enclosure measured 33 inches in length and 23 inches in height.
• A yellow Labrador retriever, “Rosie” microchip# 900219000038240. “Rosie” measured 31 inches in length and 21 inches
in height, while the enclosure measured 28 inches in length and 19.5 inches in height.
• A white Pomeranian, “Kali” microchip# 900115002107844. “Kali” measured 22 inches in length and 16 inches in height,
while the enclosure measured 19.5 inches in length and 10 inches in height.
Inadequate space during transport can cause stress, uncomfortable conditions, and prevent normal postural adjustments.
Primary enclosures used to transport live dogs must be large enough to ensure each animal has enough space to turn
about normally while standing, to stand and sit erect and to lie in a natural position.
This inspection was conducted with animal facility representatives on March 23, 2023. The exit interview was conducted
with an airline representative by phone on March 29, 2023.
n",True,True
14134,77fa1faea6a2ea24,3.15(e)(1),Direct,False,Primary enclosures used to transport live dogs and cats.,"A flight containing 27 dogs arrived at JFK International Airport on April 3, 2023, at 12:49 pm ET, shipped from Zhengzhou
International Airport (Zheng Zhou, China) on April 2, 2023 (AWB #272-CGO73243376).
The primary enclosure for “Loki” (microchip #900219001383440) contained inadequate space. “Loki” measured 42 inches
in length and 30 inches in height, while the transport crate measured 32.5 inches in length and 24.5 inches in height.
Inadequate space during transport can cause stress, uncomfortable conditions, and prevents normal postural
adjustments. Primary enclosures used to transport live dogs must be large enough to ensure each animal has enough
space to turn about normally while standing, to stand and sit erect and to lie in a natural position.
This inspection was conducted with animal facility representatives on April 3, 2023. The exit interview was conducted by
phone on April 6, 2023 with an airline representative.
n",True,True
14135,0864d02266cee5c2,3.15(e)(1),Direct,False,Primary enclosures used to transport live dogs and cats.,"A flight containing 41 dogs arrived at JFK International Airport on April 17, 2023, at 5:20 am ET, shipped from Zhengzhou
International Airport (Zheng Zhou, China) on April 16, 2023 (AWB #272-CGO73243365).
The primary enclosures for the following dogs contained inadequate space:
• A female, gray and white Alaskan Malamute, “Ava” (microchip # 900239877803571). “Ava” measured 37 inches in
length and 28 inches in height, while her crate measured 31 inches in length and 27 inches in height.
• A female, black and white Cocker Spaniel, “Olga” (microchip # 900239877803414). “Olga” measured 25 inches in length
and 22.5 inches in height, while her crate measured 24 inches in length and 20.5 inches in height.
• A male, black and white Dalmatian, “Jimmy” (microchip # 900239877803478). “Jimmy” measured 34 inches in length
and 28 inches in height, while his crate measured 30 inches in length and 24 inches in height.
• A male, gray Poodle, “Paul” (microchip # 900239877803482). “Paul” measured 33 inches in length and 28 inches in
height, while his crate measured 33 inches in length and 24 inches in height.
• A male, red Golden Retriever, “Roy” (microchip # 900239877798787). “Roy” measured 38 inches in length and 28
inches in height, while his crate measured 31.5 inches in length and 27 inches in height.
Inadequate space during transport can cause stress, uncomfortable conditions, and prevents normal postural
adjustments. Primary enclosures used to transport live dogs must be large enough to ensure each animal has enough
space to turn about normally while standing, to stand and sit erect and to lie in a natural position.
This inspection was conducted with animal facility representatives on 4/17/2023. The exit interview was conducted by
phone with an airline representative on 4/19/2023.
Additional Inspectors:
ROBERT MARKMANN, ANIMAL CARE INSPECTOR n",True,True
14136,8239e394fbf730a4,3.15(e)(1),Direct,False,Primary enclosures used to transport live dogs and cats.,"A flight containing 45 dogs arrived at JFK International Airport on May 10, 2023, at 1:53 pm ET, shipped from Qingdao
International Airport (Qingdao, China)(AWB# 272-73364034).
The primary enclosures for the following dogs contained inadequate space:
• A female, brown and gray, poodle, “Maggie” (microchip # 900115002107784). “Maggie” measured 19.5 inches in length
and 14 inches in height, while her crate measured 18 inches in length and 10.5 inches in height.
• A male yellow Golden Retriever “Kobe” (microchip # 900115002107398). “Kobe” measured 39 inches in length and 30
inches in height, while his crate measured 29 inches in length and 23 inches in height.
Inadequate space during transport can cause stress, uncomfortable conditions, and prevents normal postural
adjustments. Primary enclosures used to transport live dogs must be large enough to ensure each animal has enough
space to turn about normally while standing, to stand and sit erect and to lie in a natural position.
This inspection was conducted with animal facility representatives on 5/10/23. The exit interview was conducted by phone
with an airline representative on 5/16/23.
n",True,True
14137,3b1e7e4bbf916a56,3.15(a)(2),,False,Primary enclosures used to transport live dogs and cats.,"Thirty-one dogs arrived at JFK International Airport on June 14, 2023, Quindao, China on Kalitta Airlines, flight K4923 (Air
Waybill #27273357653 and #27273357675). The food receptacle for “Seeds” (microchip# 900219001632209) was
chewed through and contained sharp edges. Sharp points or edges within an enclosure can injure dogs. Carriers must
ensure that primary enclosures used for transport have no sharp points, edges, or protrusions that could injure the
animals.",True,True
14138,3b1e7e4bbf916a56,3.15(a)(9),Direct,False,Primary enclosures used to transport live dogs and cats.,"A total of 31 dogs arrived at JFK International Airport on June 14, 2023, shipped from Quindao, China on Kalitta Airlines,
flight K4923 (Air Waybill #27273357653 and #27273357675).
The following primary enclosures had leakage of waste products:
• A grey, female, American bully “Seeds” (microchip# 900219001632209).
• A brown and white, male, American bully “Eddie” (microchip# 900219001632207).
• A brown and white, female, American bully “Duncan” (microchip# 900219001536540).
• A brown and white, female, American bully “Wanda” (microchip# 900219001383412).
Direct contact with excreta presents uncomfortable conditions, may cause dogs to become soiled, can cause strong
odors, and can expose dogs to disease hazards. Carriers must ensure that primary enclosures with solid floors or mesh
floors that are not raised must contain enough unused litter material to absorb and cover excreta.",True,True
14139,3b1e7e4bbf916a56,3.17(c),,False,Food and water requirements.,"Thirty-one dogs arrived at JFK International Airport on June 14, 2023, Quindao, China on Kalitta Airlines, flight K4923 (Air
Waybill #27273357653 and #27273357675). Three enclosures were missing food receptacles (“Sterling” microchip#
900219001632214, “Ward” microchip# 900219001383410, Capodanno microchip# 900219001632216). Food and water
receptacles must be securely attached inside the primary enclosure and placed so that the receptacles can be filled from
outside the enclosure without opening the door.
This inspection was conducted with animal facility representatives. The exit interview was conducted with an airline
representative.
Additional Inspectors:
ROBERT MARKMANN, ANIMAL CARE INSPECTOR n",True,True
14140,28125439c4084fd1,3.15(e)(1),Direct,False,Primary enclosures used to transport live dogs and cats.,"A flight containing 40 dogs and 1 cat arrived at JFK International Airport on July 12, 2023, at 1:27 pm ET, shipped from
Qingdao International Airport (Qingdao, China)(AWB# 272-73359613).
The primary enclosures for the following dogs contained inadequate space:
• A male, brown, Pomeranian, “Yuri” (microchip # 900239877803606). “Yuri” measured 18.5 inches in length and 18
inches in height, while his crate 15 inches in height.
• A male, golden, Golden Retriever “Nolan” (microchip # 900239877803763). “Nolan” measured 35 inches in length and
28.5 inches in height, while his crate measured 29 inches in length and 23 inches in height.
Inadequate space during transport can cause stress, uncomfortable conditions, and prevents normal postural
adjustments. Primary enclosures used to transport live dogs must be large enough to ensure each animal has enough
space to turn about normally while standing, to stand and sit erect and to lie in a natural position.
This inspection was conducted with animal facility representatives on July 12, 2023. The exit interview was conducted
with an airline representative on July 17, 2023.
n",True,True
14141,8f789877346105f6,3.15(a)(2),,False,Primary enclosures used to transport live dogs and cats.,"A total of 35 dogs were inspected that arrived at JFK International Airport on August 28, 2023, shipped from Quindao,
China on Kalitta Airlines, flight K4925 (Air Waybill #27273519051). The primary enclosure for “Chloe” (enclosure #2156,
microchip# 900219001632156) contained loose hardware in the receptable from parts of the lixit water bottle. Loose
hardware can result in a choking hazard to the animals contained within. Primary enclosure must be constructed so that
there are no sharp points or loose hardware that could injure the dogs while transported.",True,True
14142,8f789877346105f6,3.15(e)(1),Direct,False,Primary enclosures used to transport live dogs and cats.,"A total of 35 dogs were inspected that arrived at JFK International Airport on August 28, 2023, shipped from Quindao,
China on Kalitta Airlines, flight K4925 (Air Waybill #27273519051).
The primary enclosures for the following dogs contained inadequate space:
• A female, black, Greyhound, “Hera” (microchip # 900239877803496). “Hera” measured 38 inches in length and 26
inches in height, while her crate measured 30 inches in length and 22 inches in height.
• A male, black and tan, German Shepherd “Zac” (microchip # 900239877803480). “Zac” measured 33 inches in length
and 25.5 inches in height, while his crate measured 30 inches in length and 22 inches in height.
• A female, black and white, Dalmatian, “Judy” (microchip # 900219001536468). “Judy” measured 34 inches in length and
25 inches in height, while her crate measured 30 inches in length and 22 inches in height.
• A male, black and white, Siberian Husky “Ian” (microchip # 900239877803403). “Ian” measured 33.5 inches in length
and 28 inches in height, while his crate measured 30 inches in length and 22.5 inches in height.
• A male, tan and white, Greyhound “Rod” (microchip # 900239877803499). “Rod” measured 33 inches in length and 25
inches in height, while his crate measured 30 inches in length and 22.5 inches in height.
Inadequate space during transport can cause stress due to uncomfortable conditions, and prevents normal postural
adjustments. Primary enclosures used to transport live dogs must be large enough to ensure each animal has enough
space to turn about normally while standing, to stand and sit erect and to lie in a natural position.",True,True
14143,8f789877346105f6,3.17(c),,False,Food and water requirements.,"A total of 35 dogs were inspected that arrived at JFK International Airport on August 28, 2023, shipped from Quindao,
China on Kalitta Airlines, flight K4925 (Air Waybill #27273519051). Three enclosures contained detached food/water
receptacles (“Rod” microchip# 900239877803499, “Zac” microchip# 900239877803480, “Mia” microchip#
900219001536290). Food and water receptacles must be securely attached inside the primary enclosure and placed so
that the receptacles can be filled from outside the enclosure without opening the door.
This inspection was conducted with animal facility representatives on August 28, 2023. The exit interview was conducted
with an airline representative by phone on September 1, 2023.
n",True,True
14144,07d3ba4036b5fe9d,3.15(a)(9),Direct,False,Primary enclosures used to transport live dogs and cats.,"A total of 25 dogs and 6 cats arrived at JFK International Airport on September 15, 2023, shipped from Qingdao, China on
Kalitta Airlines, flight K495 (Air Waybills #27272491112 and #27273519341).
The following primary enclosures had leakage of waste products:
• A gray and brown, male, French bulldog “Ross” (microchip# 900219001632400).
• A brown and white, male, American bully “Perfect” (microchip# 900219001632396).
• A brown and white, female, American bully “Teri” (microchip# 900219001599871).
• A cream, male, French bulldog “Miko” (microchip# 900219001632386).
• A lilac, male American bully “Quillian” (microchip# 900219001632392).
• A gray and brown, male, French bulldog “Ezra” (microchip# 900219001632514).
Direct contact with excreta can cause uncomfortable conditions, soilage of animals, strong odors, and exposure to
disease hazards. Carriers must ensure that primary enclosures have a solid, leak-proof bottom or a removable, leak-proof
collection tray under a slatted or mesh floor that prevents seepage of waste products, such as excreta and body fluids,
outside of the enclosure.
This inspection was conducted with animal facility representatives on 9/15/2023. The exit interview was conducted with an
airline representative by phone on 9/20/2023.
n",True,True
14145,2187d3d6ed68c040,3.15(a)(9),,False,Primary enclosures used to transport live dogs and cats.,"On October 16, 2023 a flight arrived at John F. Kennedy International Airport containing 28 dogs and 5 cats, originating
from Qingdao, China (AWB #272-73471845). Thin clothes were present in a majority of the transport enclosures,
presumably as absorbable litter. A female, 1-year-old, Yorkshire, “Max” (microchip # 900219001599544) had a thin, long
cloth tangled around both her hindlimbs, restricting her movement. The cloth had to be cut, along with the hair tangled in.
Litter used in transport primary enclosures must be of a suitable absorbent material that is safe for animals.
This inspection was conducted with animal facility representatives. The exit interview was conducted with an airline
representative by phone.
n",True,True
14657,36d034bc7dd027bc,3.13(c)(3),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"Two cats were arriving at SFO from London Heathrow on Virgin Airlines waybill # 932-51698043. There was no
shipper's declaration attached to the top of the carrier regarding feeding and watering instructions, as required. An
IATA checklist, under the Feeding and Watering section was marked ""N/A"".
Failure to ensure that the shipper provides certification in writing regarding feeding and watering instructions at the
time of accepting a dog or cat for shipment can put the animal at risk. The airline must ensure that the shipper has
provided this information in writing, that this information is clearly visible, and that animals are adequately cared for
while in transit.
To be corrected from this time forward.
This inspection and exit interview were conducted with representatives at the Virgin Airlines cargo office.",True,True
14896,2dcfac681c3956cc,2.131(b)(1),,False,HANDLING OF ANIMALS.,"The facility arranged for transport of two 3-week old bobcats to an Oregon facility via airlines. The health certificate
for this transport was signed by the facilities veterinarian on May 19, 2016 and listed the animals as 3 weeks old.
The transport occurred on May 20, 2016. The licensee stated that the animal were 4 weeks old and their birth date
was April 20, 2016 but there is no other documentation available to corroborate that information. Based on the
health certificate signed by the veterinarian, these animals were 3 weeks old at the time of transport.
It has been determined that transporting neonatal (<4 weeks old) nondomestic cats is not consistent with safe
handling and protecting them from harm. The moving of the enclosure and the noise of the planes and crowds can
cause stress and discomfort. Because of their limited immunity, their health is at risk if they are exposed to potential
pathogens. Transport at such a young age could expose them to pathogens that their immune system is not able to
handle.
Correct from this point forward.",True,True
15147,aea7ddb32e4180e5,3.13(c),,False,CONSIGNMENTS TO CARRIERS AND INTERMEDIATE HANDLERS.,"On Mar 27, 2019 China Eastern Airlines 93-T-0067 transport 29 dogs to JFK airport in NYC. Flight 587. Upon
arrival the transport cages were inspected and did not have the certification that the animals were offered food and
water during the 4 hours before delivery to the carrier and the certification must be securely attached to the outside
of the kennel. . These animals were transported as checked baggage and did not have an airway bill number,
however there is an ACE number for post entry ADM 00502952
While the transport kennels did have both food and water bottles, there was no evidence of food present and the
dogs drank readily when offered water .
Carriers must not accept a dog or cat for transport in commerce unless the consignor certifies in writing to the
carrier that the dog was offered food and water during the 4 hours before delivery to the carrier. The certification
must be securely attached to the outside of the primary enclosure in a manner that makes it easily noticed and read.",True,True
